Year,Month,Day,Mean_Temperature
2019,8,1,29.4
2019,8,2,29.5
2019,8,3,29.3
2019,8,4,29.4
2019,8,5,29.3
2019,8,6,29.1
2019,8,7,28.7
2019,8,8,29.2
2019,8,9,29.2
2019,8,10,29.2
2019,8,11,29.6
2019,8,12,29.8
2019,8,13,29.5
2019,8,14,29.3
2019,8,15,29.5
2019,8,16,29.8
2019,8,17,29.5
2019,8,18,29.7
2019,8,19,29.5
2019,8,20,29.5
2019,8,21,29.4
2019,8,22,29.4
2019,8,23,29.6
2019,8,24,29.4
2019,8,25,28.5
2019,8,26,27.8
2019,8,27,27
2019,8,28,26.8
2019,8,29,28.9
2019,8,30,28.9
2019,8,31,29.1
2019,9,1,29.3
2019,9,2,29.7
2019,9,3,29.5
2019,9,4,29.3
2019,9,5,29.4
2019,9,6,29.3
2019,9,7,29.5
2019,9,8,29.4
2019,9,9,29.5
2019,9,10,29.3
2019,9,11,29.4
2019,9,12,29.4
2019,9,13,29.3
2019,9,14,28.6
2019,9,15,28.9
2019,9,16,29
2019,9,17,29.2
2019,9,18,29.3
2019,9,19,29.4
2019,9,20,29.1
2019,9,21,29.4
2019,9,22,29.3
2019,9,23,28.3
2019,9,24,29
2019,9,25,26.8
2019,9,26,28.5
2019,9,27,29.2
2019,9,28,28.9
2019,9,29,28.4
2019,9,30,27.5
2020,9,1,28.3
2020,9,2,28.6
2020,9,3,27.6
2020,9,4,27.6
2020,9,5,25.5
2020,9,6,26.5
2020,9,7,28.1
2020,9,8,28.4
2020,9,9,28.5
2020,9,10,28
2020,9,11,27.5
2020,9,12,26.3
2020,9,13,25
2020,9,14,25.6
2020,9,15,27.7
2020,9,16,26.7
2020,9,17,28
2020,9,18,29
2020,9,19,28.6
2020,9,20,28.7
2020,9,21,26.3
2020,9,22,27.6
2020,9,23,28.6
2020,9,24,28.4
2020,9,25,28.4
2020,9,26,26.2
2020,9,27,26.7
2020,9,28,28.3
2020,9,29,27.2
2020,9,30,28.1
2020,8,1,28.5
2020,8,2,28.9
2020,8,3,29.2
2020,8,4,27.9
2020,8,5,28.8
2020,8,6,29.2
2020,8,7,29.4
2020,8,8,29.7
2020,8,9,29.6
2020,8,10,29.7
2020,8,11,29.5
2020,8,12,27.9
2020,8,13,28.3
2020,8,14,25.9
2020,8,15,28
2020,8,16,28
2020,8,17,27.4
2020,8,18,27.1
2020,8,19,28
2020,8,20,28.1
2020,8,21,29.6
2020,8,22,27.9
2020,8,23,25.6
2020,8,24,28.1
2020,8,25,27.9
2020,8,26,27
2020,8,27,27.8
2020,8,28,28.9
2020,8,29,27.2
2020,8,30,28.6
2020,8,31,29
2021,5,1,28.4
2021,5,2,29.4
2021,5,3,29.5
2021,5,4,29.4
2021,5,5,28.1
2021,5,6,27.5
2021,5,7,28.5
2021,5,8,28.2
2021,5,9,27.8
2021,5,10,29.3
2021,5,11,29.7
2021,5,12,28
2021,5,13,29
2021,5,14,28.4
2021,5,15,28
2021,5,16,29.3
2021,5,17,28.6
2021,5,18,26.4
2021,5,19,27.7
2021,5,20,28.8
2021,5,21,27.8
2021,5,22,27.8
2021,5,23,29.5
2021,5,24,29.8
2021,5,25,30
2021,5,26,29.6
2021,5,27,29.4
2021,5,28,29.2
2021,5,29,28.3
2021,5,30,29.1
2021,5,31,29.3
2021,4,1,30.4
2021,4,2,28.6
2021,4,3,27.8
2021,4,4,27
2021,4,5,27
2021,4,6,28.4
2021,4,7,29.2
2021,4,8,27.8
2021,4,9,28.5
2021,4,10,29.2
2021,4,11,29.2
2021,4,12,28.5
2021,4,13,28.8
2021,4,14,28.5
2021,4,15,26.8
2021,4,16,27.7
2021,4,17,25.8
2021,4,18,28
2021,4,19,28.4
2021,4,20,29
2021,4,21,29.1
2021,4,22,27.2
2021,4,23,29.1
2021,4,24,26.4
2021,4,25,28.8
2021,4,26,28.3
2021,4,27,27.7
2021,4,28,28.4
2021,4,29,29
2021,4,30,28.7
2021,6,1,29.2
2021,6,2,29.3
2021,6,3,29.6
2021,6,4,30
2021,6,5,29.6
2021,6,6,29.7
2021,6,7,29.6
2021,6,8,29.3
2021,6,9,28.8
2021,6,10,28
2021,6,11,28.5
2021,6,12,28.7
2021,6,13,28.4
2021,6,14,29
2021,6,15,27.6
2021,6,16,28.1
2021,6,17,29
2021,6,18,26.6
2021,6,19,28.2
2021,6,20,27.4
2021,6,21,28.6
2021,6,22,28.4
2021,6,23,29
2021,6,24,28.2
2021,6,25,27.4
2021,6,26,27.8
2021,6,27,27.5
2021,6,28,28.8
2021,6,29,27.6
2021,6,30,28.1
2021,3,1,28.3
2021,3,2,28.3
2021,3,3,28.5
2021,3,4,28.5
2021,3,5,28.8
2021,3,6,28.8
2021,3,7,26.5
2021,3,8,27.7
2021,3,9,28
2021,3,10,28.1
2021,3,11,28.3
2021,3,12,27.4
2021,3,13,28
2021,3,14,27.5
2021,3,15,27.7
2021,3,16,28
2021,3,17,27.5
2021,3,18,28.1
2021,3,19,28.7
2021,3,20,28
2021,3,21,28.9
2021,3,22,28.6
2021,3,23,28
2021,3,24,25.7
2021,3,25,26.2
2021,3,26,28.3
2021,3,27,27.1
2021,3,28,28.4
2021,3,29,27.5
2021,3,30,27.7
2021,3,31,28.5
2021,2,1,26.9
2021,2,2,26.9
2021,2,3,27
2021,2,4,26.7
2021,2,5,26.8
2021,2,6,27.6
2021,2,7,27.6
2021,2,8,27.6
2021,2,9,27.7
2021,2,10,27.4
2021,2,11,27.6
2021,2,12,27.5
2021,2,13,27.7
2021,2,14,27.1
2021,2,15,27
2021,2,16,26.6
2021,2,17,27
2021,2,18,26.9
2021,2,19,27.1
2021,2,20,27.2
2021,2,21,27.2
2021,2,22,27.2
2021,2,23,27.1
2021,2,24,26.7
2021,2,25,27.4
2021,2,26,27.6
2021,2,27,28.2
2021,2,28,28.3
2021,1,1,24.5
2021,1,2,23.1
2021,1,3,24
2021,1,4,25.2
2021,1,5,26.3
2021,1,6,26.6
2021,1,7,24.3
2021,1,8,25.3
2021,1,9,25.6
2021,1,10,23.9
2021,1,11,25.8
2021,1,12,25.7
2021,1,13,25.4
2021,1,14,25.7
2021,1,15,26.8
2021,1,16,27
2021,1,17,27.1
2021,1,18,26.5
2021,1,19,26.4
2021,1,20,26.4
2021,1,21,26.5
2021,1,22,26.3
2021,1,23,26.1
2021,1,24,26.7
2021,1,25,27.4
2021,1,26,27.3
2021,1,27,26.8
2021,1,28,26.4
2021,1,29,26.9
2021,1,30,27
2021,1,31,26.4
2019,2,1,28.1
2019,2,2,28.2
2019,2,3,28.4
2019,2,4,28.7
2019,2,5,28.2
2019,2,6,27.7
2019,2,7,28.1
2019,2,8,28.7
2019,2,9,28.8
2019,2,10,28.5
2019,2,11,27.7
2019,2,12,28.3
2019,2,13,28.8
2019,2,14,28.5
2019,2,15,27.9
2019,2,16,28.2
2019,2,17,27.2
2019,2,18,26.8
2019,2,19,28
2019,2,20,28.2
2019,2,21,28.6
2019,2,22,28.6
2019,2,23,28.3
2019,2,24,28
2019,2,25,28.6
2019,2,26,28.7
2019,2,27,28
2019,2,28,28.3
2020,6,1,26.6
2020,6,2,28.5
2020,6,3,28.7
2020,6,4,28.3
2020,6,5,27.6
2020,6,6,27.6
2020,6,7,29.5
2020,6,8,28.8
2020,6,9,29.7
2020,6,10,29.4
2020,6,11,28.8
2020,6,12,29.1
2020,6,13,26.2
2020,6,14,28.1
2020,6,15,29.7
2020,6,16,28.4
2020,6,17,27.1
2020,6,18,27.5
2020,6,19,27.7
2020,6,20,26.5
2020,6,21,26.6
2020,6,22,26.9
2020,6,23,26.4
2020,6,24,26.7
2020,6,25,28.1
2020,6,26,28.6
2020,6,27,29.3
2020,6,28,29.2
2020,6,29,28.9
2020,6,30,29
2020,12,1,28.6
2020,12,2,27.6
2020,12,3,26.7
2020,12,4,26.6
2020,12,5,26.8
2020,12,6,28
2020,12,7,27.8
2020,12,8,28
2020,12,9,27.2
2020,12,10,26.3
2020,12,11,27.8
2020,12,12,26.2
2020,12,13,27
2020,12,14,26.4
2020,12,15,27.2
2020,12,16,25.9
2020,12,17,26.7
2020,12,18,25.5
2020,12,19,26.6
2020,12,20,26.9
2020,12,21,27.3
2020,12,22,28
2020,12,23,27.6
2020,12,24,26.8
2020,12,25,28
2020,12,26,27.5
2020,12,27,27.2
2020,12,28,28.1
2020,12,29,26.6
2020,12,30,27.8
2020,12,31,27.7
2020,7,1,28.8
2020,7,2,28.9
2020,7,3,29.6
2020,7,4,28.8
2020,7,5,27.9
2020,7,6,29
2020,7,7,27.9
2020,7,8,27.1
2020,7,9,26.3
2020,7,10,27.2
2020,7,11,27.4
2020,7,12,28.7
2020,7,13,26.2
2020,7,14,27.1
2020,7,15,27.6
2020,7,16,28.2
2020,7,17,28.8
2020,7,18,27.8
2020,7,19,28.5
2020,7,20,29.1
2020,7,21,28.9
2020,7,22,28
2020,7,23,27.8
2020,7,24,27.8
2020,7,25,27.2
2020,7,26,27.7
2020,7,27,27.3
2020,7,28,28.1
2020,7,29,26.2
2020,7,30,28.2
2020,7,31,28.4
2019,3,1,28.5
2019,3,2,28.4
2019,3,3,27.9
2019,3,4,28.1
2019,3,5,28.8
2019,3,6,28.5
2019,3,7,29.4
2019,3,8,29.3
2019,3,9,29.2
2019,3,10,29.2
2019,3,11,27.4
2019,3,12,28.2
2019,3,13,28.9
2019,3,14,28.9
2019,3,15,28.8
2019,3,16,28.7
2019,3,17,28.8
2019,3,18,28.7
2019,3,19,28.9
2019,3,20,29.3
2019,3,21,28
2019,3,22,28.7
2019,3,23,29.3
2019,3,24,29
2019,3,25,28.6
2019,3,26,29.6
2019,3,27,30
2019,3,28,27.9
2019,3,29,28.8
2019,3,30,27.6
2019,3,31,28.4
2019,1,1,28.2
2019,1,2,29.1
2019,1,3,29.6
2019,1,4,29.7
2019,1,5,28
2019,1,6,28.6
2019,1,7,28.9
2019,1,8,28.2
2019,1,9,28.5
2019,1,10,28.6
2019,1,11,27.9
2019,1,12,28.1
2019,1,13,28
2019,1,14,27.9
2019,1,15,28.3
2019,1,16,28.1
2019,1,17,26.9
2019,1,18,25.8
2019,1,19,27.2
2019,1,20,28.1
2019,1,21,27.8
2019,1,22,27.6
2019,1,23,28
2019,1,24,27.6
2019,1,25,27.2
2019,1,26,27.4
2019,1,27,27.9
2019,1,28,26.8
2019,1,29,27.8
2019,1,30,27.8
2019,1,31,27.6
2020,11,1,27.9
2020,11,2,26.7
2020,11,3,27.6
2020,11,4,25.4
2020,11,5,28
2020,11,6,28.7
2020,11,7,26
2020,11,8,26.7
2020,11,9,26.7
2020,11,10,26.6
2020,11,11,28.3
2020,11,12,29.3
2020,11,13,29.1
2020,11,14,28
2020,11,15,27.4
2020,11,16,27.6
2020,11,17,27.3
2020,11,18,28.5
2020,11,19,27.3
2020,11,20,27.9
2020,11,21,26.7
2020,11,22,26.2
2020,11,23,26.1
2020,11,24,26.1
2020,11,25,26.6
2020,11,26,26.2
2020,11,27,27.2
2020,11,28,26.5
2020,11,29,27.6
2020,11,30,27.2
2020,5,1,26.5
2020,5,2,28.2
2020,5,3,28.5
2020,5,4,27.8
2020,5,5,28.1
2020,5,6,28.1
2020,5,7,29.6
2020,5,8,29.1
2020,5,9,30.4
2020,5,10,29.9
2020,5,11,29.3
2020,5,12,29.7
2020,5,13,27.9
2020,5,14,28.9
2020,5,15,29.7
2020,5,16,29.9
2020,5,17,28.5
2020,5,18,29
2020,5,19,29.8
2020,5,20,28.8
2020,5,21,29.3
2020,5,22,28.1
2020,5,23,27.8
2020,5,24,29.2
2020,5,25,30.1
2020,5,26,29.9
2020,5,27,27.7
2020,5,28,29.4
2020,5,29,29.4
2020,5,30,28.9
2020,5,31,28.8
2020,4,1,29.3
2020,4,2,28.8
2020,4,3,28.5
2020,4,4,29.5
2020,4,5,29.2
2020,4,6,28.6
2020,4,7,27.9
2020,4,8,28.1
2020,4,9,28.8
2020,4,10,28.8
2020,4,11,28.8
2020,4,12,28.7
2020,4,13,29.5
2020,4,14,29.6
2020,4,15,29.6
2020,4,16,29.5
2020,4,17,29.4
2020,4,18,29.5
2020,4,19,30
2020,4,20,30.2
2020,4,21,29.5
2020,4,22,30
2020,4,23,28.9
2020,4,24,28
2020,4,25,27.8
2020,4,26,27.6
2020,4,27,27.5
2020,4,28,28.2
2020,4,29,28.4
2020,4,30,27.3
2020,10,1,27.1
2020,10,2,27.8
2020,10,3,27.8
2020,10,4,28.6
2020,10,5,29
2020,10,6,28.6
2020,10,7,28.7
2020,10,8,27.9
2020,10,9,27.9
2020,10,10,27.5
2020,10,11,27.8
2020,10,12,28.5
2020,10,13,29
2020,10,14,28.9
2020,10,15,28.4
2020,10,16,29
2020,10,17,29.7
2020,10,18,28.2
2020,10,19,28.8
2020,10,20,27.9
2020,10,21,28.5
2020,10,22,27.7
2020,10,23,28.7
2020,10,24,27.8
2020,10,25,28.4
2020,10,26,27.1
2020,10,27,29.6
2020,10,28,27.7
2020,10,29,28.3
2020,10,30,28.5
2020,10,31,27.7
2019,4,1,27.2
2019,4,2,28.1
2019,4,3,26.7
2019,4,4,28.5
2019,4,5,28.9
2019,4,6,28.6
2019,4,7,28.8
2019,4,8,29
2019,4,9,29.3
2019,4,10,28.2
2019,4,11,27.4
2019,4,12,28.5
2019,4,13,29.2
2019,4,14,28.8
2019,4,15,29.1
2019,4,16,29.9
2019,4,17,30.1
2019,4,18,30
2019,4,19,29
2019,4,20,27.7
2019,4,21,29.7
2019,4,22,29.2
2019,4,23,28.7
2019,4,24,28.9
2019,4,25,29.2
2019,4,26,26.3
2019,4,27,27.6
2019,4,28,29.1
2019,4,29,29.5
2019,4,30,28.2
2019,10,1,28
2019,10,2,26.4
2019,10,3,27.2
2019,10,4,28.1
2019,10,5,28.6
2019,10,6,27.9
2019,10,7,27.3
2019,10,8,27.9
2019,10,9,28
2019,10,10,28.6
2019,10,11,28.9
2019,10,12,28.7
2019,10,13,28.9
2019,10,14,29.2
2019,10,15,28.9
2019,10,16,29
2019,10,17,28.8
2019,10,18,28.5
2019,10,19,29.2
2019,10,20,28.5
2019,10,21,28.5
2019,10,22,26.5
2019,10,23,27.4
2019,10,24,28.1
2019,10,25,29.4
2019,10,26,27.3
2019,10,27,27.2
2019,10,28,26.1
2019,10,29,28.5
2019,10,30,28.3
2019,10,31,28.4
2020,1,1,27.9
2020,1,2,27.6
2020,1,3,28
2020,1,4,27.6
2020,1,5,27.8
2020,1,6,26.4
2020,1,7,26.1
2020,1,8,27.6
2020,1,9,27.8
2020,1,10,27.1
2020,1,11,27.4
2020,1,12,27.7
2020,1,13,27.6
2020,1,14,27.5
2020,1,15,27.9
2020,1,16,28
2020,1,17,28.1
2020,1,18,28.2
2020,1,19,28.5
2020,1,20,28.4
2020,1,21,26.6
2020,1,22,28.2
2020,1,23,28.2
2020,1,24,28
2020,1,25,28.1
2020,1,26,28.3
2020,1,27,27.8
2020,1,28,28.6
2020,1,29,27
2020,1,30,27.2
2020,1,31,28.5
2019,11,1,27.8
2019,11,2,29.3
2019,11,3,28.3
2019,11,4,28.6
2019,11,5,28.2
2019,11,6,29.4
2019,11,7,29.9
2019,11,8,28.2
2019,11,9,28.2
2019,11,10,28.9
2019,11,11,29.1
2019,11,12,28.7
2019,11,13,29
2019,11,14,27.6
2019,11,15,27.2
2019,11,16,28.4
2019,11,17,29
2019,11,18,28.4
2019,11,19,28
2019,11,20,26.3
2019,11,21,26.5
2019,11,22,26.4
2019,11,23,26.7
2019,11,24,26.6
2019,11,25,27.8
2019,11,26,28.5
2019,11,27,27.5
2019,11,28,27.8
2019,11,29,26.5
2019,11,30,27.6
2019,5,1,29.4
2019,5,2,28.9
2019,5,3,29.4
2019,5,4,29.2
2019,5,5,29
2019,5,6,30.7
2019,5,7,30.3
2019,5,8,27.4
2019,5,9,30
2019,5,10,29.5
2019,5,11,28.7
2019,5,12,29.6
2019,5,13,29.4
2019,5,14,29.5
2019,5,15,29.5
2019,5,16,29.2
2019,5,17,28.3
2019,5,18,29.1
2019,5,19,28.2
2019,5,20,29
2019,5,21,28.4
2019,5,22,28.4
2019,5,23,29.6
2019,5,24,30.1
2019,5,25,29.5
2019,5,26,29.9
2019,5,27,29.7
2019,5,28,30.1
2019,5,29,29.9
2019,5,30,28.2
2019,5,31,29
2019,7,1,29.4
2019,7,2,29.7
2019,7,3,28.7
2019,7,4,29.3
2019,7,5,29.5
2019,7,6,29.3
2019,7,7,28.9
2019,7,8,28.2
2019,7,9,27.9
2019,7,10,29.4
2019,7,11,29.6
2019,7,12,29.2
2019,7,13,29.4
2019,7,14,29.7
2019,7,15,27.2
2019,7,16,28.7
2019,7,17,29.1
2019,7,18,29.3
2019,7,19,29.2
2019,7,20,29.4
2019,7,21,28.8
2019,7,22,28.4
2019,7,23,27.6
2019,7,24,28.9
2019,7,25,29.1
2019,7,26,29.1
2019,7,27,29.3
2019,7,28,29
2019,7,29,29.7
2019,7,30,29.4
2019,7,31,29.4
2020,3,1,28.1
2020,3,2,28.3
2020,3,3,28.5
2020,3,4,28.9
2020,3,5,28.2
2020,3,6,28.2
2020,3,7,28
2020,3,8,27.8
2020,3,9,28.4
2020,3,10,28.9
2020,3,11,29.1
2020,3,12,28.9
2020,3,13,29.3
2020,3,14,29.1
2020,3,15,29.3
2020,3,16,29
2020,3,17,28.8
2020,3,18,29
2020,3,19,28.6
2020,3,20,28.3
2020,3,21,27.6
2020,3,22,28
2020,3,23,26.6
2020,3,24,28.1
2020,3,25,28.6
2020,3,26,29.3
2020,3,27,29.3
2020,3,28,29.2
2020,3,29,29.1
2020,3,30,29.1
2020,3,31,29.5
2020,2,1,28.3
2020,2,2,27.9
2020,2,3,28
2020,2,4,27.5
2020,2,5,27.8
2020,2,6,28.1
2020,2,7,28
2020,2,8,27.7
2020,2,9,26.2
2020,2,10,27
2020,2,11,26.9
2020,2,12,27.9
2020,2,13,28.4
2020,2,14,28.4
2020,2,15,28.3
2020,2,16,28.2
2020,2,17,28.6
2020,2,18,26.8
2020,2,19,28.1
2020,2,20,27.8
2020,2,21,27.2
2020,2,22,28.2
2020,2,23,28.1
2020,2,24,27
2020,2,25,28.2
2020,2,26,28.4
2020,2,27,28.3
2020,2,28,28.4
2020,2,29,28.2
2019,6,1,28.3
2019,6,2,28.6
2019,6,3,26.9
2019,6,4,28.3
2019,6,5,29.4
2019,6,6,27.1
2019,6,7,26.1
2019,6,8,27.4
2019,6,9,28.9
2019,6,10,30
2019,6,11,29.9
2019,6,12,27.2
2019,6,13,28.7
2019,6,14,28.9
2019,6,15,28.7
2019,6,16,29.3
2019,6,17,29.2
2019,6,18,27.1
2019,6,19,27.9
2019,6,20,28.6
2019,6,21,27.8
2019,6,22,26.8
2019,6,23,28.6
2019,6,24,28.9
2019,6,25,29.5
2019,6,26,28.3
2019,6,27,29.2
2019,6,28,29.6
2019,6,29,28.6
2019,6,30,28.8
2019,12,1,28.3
2019,12,2,26.7
2019,12,3,27.8
2019,12,4,28.2
2019,12,5,27.6
2019,12,6,27.9
2019,12,7,28
2019,12,8,26.1
2019,12,9,24.6
2019,12,10,25
2019,12,11,24.1
2019,12,12,27
2019,12,13,25.1
2019,12,14,24.4
2019,12,15,24.2
2019,12,16,25.9
2019,12,17,25.3
2019,12,18,26.1
2019,12,19,26.8
2019,12,20,27.3
2019,12,21,27.2
2019,12,22,26.9
2019,12,23,27.4
2019,12,24,27.5
2019,12,25,27.5
2019,12,26,27.1
2019,12,27,27.7
2019,12,28,27.7
2019,12,29,27.9
2019,12,30,28
2019,12,31,27.8